"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.8476451,
"AUT","QGDP","TOT","PC_CHGPP","Q","2007-Q2",1.178582668,
"AUT","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.458591132,
"AUT","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.828208297,
"AUT","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.478739292,
"AUT","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.982348233,
"AUT","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-0.587160007,
"AUT","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-2.271759978,
"AUT","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-1.76802935,
"AUT","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-0.816921124,
"AUT","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.487602216,
"AUT","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.384447091,
"AUT","QGDP","TOT","PC_CHGPP","Q","2010-Q1",-0.307745571,
"AUT","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.28356962,
"AUT","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.911573624,
"AUT","QGDP","TOT","PC_CHGPP","Q","2010-Q4",1.106293173,
"AUT","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.932918676,
"AUT","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.25752975,
"AUT","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.74224692,
"AUT","QGDP","TOT","PC_CHGPP","Q","2011-Q4",-0.05584606,
"AUT","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.680694661,
"AUT","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-0.372045282,
"AUT","QGDP","TOT","PC_CHGPP","Q","2012-Q3",-0.086440102,
"AUT","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.030857004,
"AUT","QGDP","TOT","PC_CHGPP","Q","2013-Q1",-0.386016288,
"AUT","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.241276395,
"AUT","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.440022556,
"AUT","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.446539627,
"AUT","QGDP","TOT","PC_CHGPP","Q","2014-Q1",-0.30297576,
"AUT","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.718647569,
"AUT","QGDP","TOT","PC_CHGPP","Q","2014-Q3",-0.126284549,
"AUT","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.101315688,
"AUT","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.352137688,
"AUT","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.142044578,
"AUT","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.516791272,
"AUT","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.103729393,
"AUT","QGDP","TOT","PC_CHGPP","Q","2016-Q1",1.141870393,
"AUT","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-0.104453966,
"AUT","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.536201284,
"AUT","QGDP","TOT","PC_CHGPP","Q","2016-Q4",1.081951546,
"AUT","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.702258833,
"AUT","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.538444725,
"AUT","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.408432239,
"AUT","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.453879232,
"AUT","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.161978722,
"AUT","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.437671544,
"AUT","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.226776488,
"AUT","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.850672059,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.800275051,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.317891968,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.309108452,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.536193235,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.593136613,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.638462519,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.595484811,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-3.144716536,
"AUT","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.097523717,
"AUT","QGDP","TOT","PC_CHGPP","Q","2021-Q2",4.252988582,
