Calenderweek;Private consumption;Public consumption;Construction investment;Other investment;Exports without tourism;Tourism exports;Real GDP compared to pre-crisis levels;Real GDP compared to previous year's levels
2020 CW10;2.5;0.1;0.1;0.2;0.4;-1.0;2.4;
2020 CW11;4.6;0.1;0.1;0.3;0.8;-1.0;5.0;
2020 CW12;-8.7;0.1;-1.2;-0.8;-3.0;-3.6;-17.2;
2020 CW13;-12.3;0.1;-1.2;-1.4;-6.8;-3.6;-25.1;
2020 CW14;-10.8;0.1;-1.5;-1.6;-9.2;-3.6;-26.5;
2020 CW15;-9.8;0.1;-1.6;-1.5;-9.5;-3.6;-25.8;
2020 CW16;-8.7;0.1;-1.6;-1.3;-7.5;-3.6;-22.6;
2020 CW17;-8.6;0.1;-1.6;-1.3;-7.1;-3.6;-22.0;
2020 CW18;-8.1;0.1;-1.1;-1.1;-4.9;-3.6;-18.7;
2020 CW19;-1.3;0.1;-0.9;-1.1;-4.8;-3.6;-11.5;
2020 CW20;-2.3;0.1;-0.8;-1.0;-4.2;-3.6;-11.7;
2020 CW21;-1.2;0.1;-0.8;-0.9;-3.8;-3.5;-10.2;
2020 CW22;-2.8;0.1;-0.8;-0.8;-3.2;-3.5;-10.9;
2020 CW23;-2.5;0.1;-0.7;-0.9;-3.8;-3.4;-11.1;
2020 CW24;-0.9;0.1;-0.6;-0.8;-3.4;-3.2;-8.8;
2020 CW25;-0.9;0.1;-0.6;-0.7;-3.1;-2.8;-8.0;
2020 CW26;-0.8;0.1;-0.5;-0.8;-3.4;-2.1;-7.5;
2020 CW27;-1.5;0.2;-0.5;-0.7;-3.2;-1.8;-7.6;
2020 CW28;-0.8;0.2;-0.4;-0.7;-2.5;-1.3;-5.6;
2020 CW29;-1.1;0.2;-0.4;-0.6;-1.9;-1.1;-4.9;
2020 CW30;-0.7;0.2;-0.4;-0.6;-1.8;-1.0;-4.2;
2020 CW31;-1.3;0.2;-0.4;-0.5;-1.5;-0.9;-4.4;
2020 CW32;0.1;0.2;-0.3;-0.5;-1.7;-0.9;-3.2;
2020 CW33;-0.5;0.2;-0.3;-0.5;-2.0;-1.0;-4.2;
2020 CW34;-1.5;0.2;-0.3;-0.5;-2.3;-0.8;-5.2;
2020 CW35;-1.5;0.2;-0.3;-0.5;-2.3;-0.8;-5.2;
2020 CW36;-0.1;0.2;-0.3;-0.5;-1.7;-0.9;-3.3;
2020 CW37;-0.4;0.2;-0.2;-0.4;-1.0;-0.7;-2.6;
2020 CW38;-0.3;0.2;-0.2;-0.5;-1.1;-0.8;-2.8;
2020 CW39;-1.5;0.2;-0.2;-0.4;-0.8;-1.2;-4.0;
2020 CW40;-0.4;0.2;-0.2;-0.4;-0.1;-2.3;-3.1;
2020 CW41;-0.9;0.2;-0.2;-0.3;0.2;-2.3;-3.3;
2020 CW42;0.3;0.2;-0.2;-0.3;0.1;-2.3;-2.2;
2020 CW43;0.3;0.2;-0.2;-0.3;0.4;-2.4;-2.0;
2020 CW44;0.3;0.2;-0.2;-0.3;0.7;-3.1;-2.4;
2020 CW45;-3.8;0.2;-0.2;-0.3;0.2;-3.1;-7.0;
2020 CW46;-3.5;0.2;-0.1;-0.2;0.9;-3.5;-6.2;
2020 CW47;-5.5;0.2;-0.1;-0.2;0.9;-3.5;-8.3;
2020 CW48;-10.4;0.2;-0.1;-0.2;0.5;-3.5;-13.7;
2020 CW49;-8.1;0.2;-0.1;-0.2;0.5;-3.5;-11.2;
2020 CW50;-3.3;0.2;-0.1;-0.1;0.4;-3.5;-6.5;
2020 CW51;-2.6;0.2;0.0;-0.1;0.3;-3.5;-5.8;
2020 CW52;-1.8;0.2;0.0;-0.1;0.4;-3.5;-4.9;
2020 CW53;-7.1;0.2;0.0;-0.1;0.3;-3.5;-10.3;
2021 CW1;-7.5;0.3;0.0;-0.1;-0.1;-3.5;-10.9;
2021 CW2;-8.1;0.3;0.0;-0.1;-0.2;-3.5;-11.6;
2021 CW3;-8.4;0.3;0.0;-0.1;0.3;-3.5;-11.4;
2021 CW4;-7.5;0.3;-0.1;-0.1;0.4;-3.5;-10.4;
2021 CW5;-7.2;0.3;-0.1;-0.1;1.0;-3.5;-9.6;
2021 CW6;-2.0;0.3;-0.1;-0.1;0.6;-3.5;-4.7;
2021 CW7;-1.8;0.3;-0.2;-0.1;1.6;-3.5;-3.6;
2021 CW8;-2.3;0.3;-0.2;-0.1;2.3;-3.5;-3.4;
2021 CW9;-3.7;0.3;-0.1;0.0;1.6;-3.5;-5.4;
2021 CW10;-5.7;0.3;0.0;0.0;1.6;-3.5;-7.3;
2021 CW11;-3.2;0.5;0.0;0.0;1.4;-3.5;-4.8;5.9
2021 CW12;-2.6;0.5;0.0;0.0;1.8;-3.5;-3.8;25.1
2021 CW13;-1.3;0.4;0.0;-0.1;1.1;-3.5;-3.4;28.0
2021 CW14;-3.6;0.4;0.1;-0.1;2.1;-3.5;-4.6;25.2
2021 CW15;-4.0;0.4;0.0;-0.1;1.0;-3.5;-6.1;18.2
2021 CW16;-4.2;0.4;-0.1;0.0;1.0;-3.5;-6.4;17.0
2021 CW17;-3.6;0.4;-0.1;0.0;1.6;-3.5;-5.0;14.0
2021 CW18;-1.2;0.4;0.0;0.0;0.3;-3.4;-3.8;7.4
2021 CW19;-0.5;0.4;0.0;0.0;0.8;-3.4;-2.7;9.4
2021 CW20;0.6;0.4;0.0;0.0;1.0;-2.9;-0.7;10.5
2021 CW21;-0.3;0.4;0.0;0.0;0.3;-2.2;-1.7;10.4
2021 CW22;-0.8;0.4;0.1;0.1;0.1;-1.7;-1.8;10.5
2021 CW23;-1.1;0.4;0.1;0.0;1.1;-1.8;-1.3;8.3
2021 CW24;-0.9;0.4;0.1;0.0;1.3;-2.0;-1.0;7.6
2021 CW25;-1.1;0.4;0.1;0.0;0.2;-1.5;-1.8;6.3
2021 CW26;-1.1;0.5;0.1;0.0;0.7;-1.2;-0.9;7.4
2021 CW27;-1.4;0.5;0.1;0.0;1.0;-0.9;-0.6;5.5
2021 CW28;-1.2;0.5;0.1;0.1;1.0;-0.7;-0.3;5.0
2021 CW29;-0.7;0.5;0.1;0.1;1.4;-0.6;0.7;5.4
2021 CW30;-1.7;0.5;0.1;0.1;1.9;-0.3;0.7;5.5
2021 CW31;-1.0;0.5;0.1;0.0;1.6;0.0;1.2;4.7
2021 CW32;-1.1;0.5;0.1;0.1;-0.2;-0.1;-0.7;3.9
2021 CW33;-1.8;0.5;0.1;0.0;-0.2;-0.1;-1.4;4.3
2021 CW34;-2.0;0.5;0.1;0.1;0.7;-0.2;-0.7;5.0
2021 CW35;-0.9;0.5;0.1;0.1;0.2;-0.1;-0.1;3.5
2021 CW36;-1.6;0.3;0.2;0.1;0.6;0.0;-0.5;2.4
2021 CW37;-0.9;0.3;0.2;0.1;0.5;0.1;0.2;3.2
2021 CW38;-1.0;0.3;0.2;0.1;0.6;0.1;0.2;4.6
2021 CW39;-0.8;0.3;0.2;0.1;1.4;-0.5;0.7;3.9
2021 CW40;-0.9;0.3;0.2;0.1;0.9;-0.4;0.2;3.5
2021 CW41;-0.1;0.3;0.2;0.1;1.1;-0.5;1.1;3.2
2021 CW42;0.8;0.3;0.2;0.1;1.1;-0.1;2.5;4.5
2021 CW43;-0.3;0.3;0.2;0.0;1.4;-0.7;0.9;3.2
2021 CW44;-0.5;0.3;0.3;0.1;1.4;0.3;1.8;9.3
2021 CW45;-1.3;0.3;0.3;0.0;1.6;-0.9;0.0;6.5
2021 CW46;0.6;0.3;0.3;0.1;1.8;-1.2;1.9;10.9
2021 CW47;-7.1;0.3;0.3;0.0;1.0;-3.5;-9.0;5.2
;;;;;;;;
;;;;;;;;
